date,AI Jobs,Machine Learning,Data Science,Generative AI
2025-03-02,8,30,24,10
2025-03-09,7,28,23,9
2025-03-16,8,30,26,11
2025-03-23,9,30,25,10
2025-03-30,9,27,24,9
2025-04-06,7,30,25,9
2025-04-13,7,26,24,8
2025-04-20,7,28,25,10
2025-04-27,8,29,25,10
2025-05-04,8,29,26,10
2025-05-11,9,30,29,10
2025-05-18,9,30,27,11
2025-05-25,10,27,25,10
2025-06-01,12,30,27,12
2025-06-08,13,36,29,14
2025-06-15,13,34,30,14
2025-06-22,12,35,29,14
2025-06-29,14,32,27,12
2025-07-06,12,31,27,12
2025-07-13,14,32,31,13
2025-07-20,15,36,30,16
2025-07-27,18,41,34,18
2025-08-03,34,54,44,39
2025-08-10,42,77,58,63
2025-08-17,38,72,58,59
2025-08-24,31,59,51,42
2025-08-31,33,60,58,41
2025-09-07,33,60,55,38
2025-09-14,30,58,50,34
2025-09-21,34,64,54,39
2025-09-28,36,62,52,40
2025-10-05,32,58,47,37
2025-10-12,29,57,45,39
2025-10-19,28,61,45,37
2025-10-26,28,55,43,36
2025-11-02,29,58,45,37
2025-11-09,26,61,47,36
2025-11-16,27,67,53,37
2025-11-23,28,68,54,40
2025-11-30,38,72,58,42
2025-12-07,35,66,56,38
2025-12-14,35,68,50,41
2025-12-21,25,49,36,31
2025-12-28,28,47,34,28
2026-01-04,33,57,42,32
2026-01-11,33,65,47,36
2026-01-18,34,73,52,39
2026-01-25,36,78,58,39
2026-02-01,16,50,33,17
2026-02-08,14,72,34,16
2026-02-15,14,100,42,16
