date,AI Jobs,Machine Learning,Data Science,Generative AI
2025-02-23,11,39,30,13
2025-03-02,10,37,31,12
2025-03-09,10,36,29,12
2025-03-16,10,39,34,13
2025-03-23,11,37,33,12
2025-03-30,11,36,31,12
2025-04-06,10,37,32,12
2025-04-13,9,34,31,11
2025-04-20,10,35,32,13
2025-04-27,11,38,32,12
2025-05-04,11,37,34,12
2025-05-11,11,38,37,13
2025-05-18,12,37,35,13
2025-05-25,13,35,33,13
2025-06-01,15,39,33,15
2025-06-08,17,46,39,17
2025-06-15,17,43,38,17
2025-06-22,16,44,35,17
2025-06-29,17,41,35,15
2025-07-06,15,38,36,15
2025-07-13,17,41,39,16
2025-07-20,19,47,40,19
2025-07-27,24,53,44,23
2025-08-03,42,71,57,48
2025-08-10,56,100,76,80
2025-08-17,48,86,72,76
2025-08-24,40,78,66,53
2025-08-31,42,78,73,53
2025-09-07,41,77,69,48
2025-09-14,40,73,65,44
2025-09-21,43,79,72,49
2025-09-28,47,79,65,50
2025-10-05,41,70,59,49
2025-10-12,39,72,58,48
2025-10-19,36,78,60,50
2025-10-26,36,69,53,45
2025-11-02,37,76,59,45
2025-11-09,33,75,59,47
2025-11-16,35,90,65,50
2025-11-23,38,88,69,53
2025-11-30,49,93,75,53
2025-12-07,45,84,66,47
2025-12-14,42,87,64,52
2025-12-21,32,64,44,39
2025-12-28,36,61,43,35
2026-01-04,43,73,51,40
2026-01-11,42,82,60,46
2026-01-18,44,92,68,48
2026-01-25,38,82,62,42
2026-02-01,16,57,36,18
2026-02-08,19,87,43,21
